aah, aah aha
cdeeilp, pedicel pedicle
deps, peds sped
eelp, peel pele
eeelprs, peelers sleeper
eegilnps, peelings sleeping speeling
eelps, peels peles sleep speel
eepr, peer pere pree
eeeiprs, peeries seepier
eeginpr, peering preeing
eeelprss, peerless sleepers
eeprs, peers peres perse prees prese speer spree
eeps, pees seep
einp, pein pine
einps, peins penis pines snipe spine
eeeilnprs, pelerines spleenier
aeiloprs, pelorias polarise
eelprt, pelter petrel
eelprst, pelters petrels respelt spelter
elprty, peltry pertly
elpst, pelts slept spelt
aeeilnps, penalise sepaline
aeeilnpst, penalties tapelines
ceilnps, pencils splenic
denps, pends spend
adelnpru, pendular underlap uplander
aeeinnoprstt, penetrations presentation
egnops, pengos sponge
eeilnpst, penlites plenties
aeennpt, pennate pentane
aeinnp, pennia pinnae
eeinnps, pennies pinenes
eilnps, pensil spinel spline
eilnpss, pensils spinels splines
einnops, pension pinones
eeinpsv, pensive vespine
eenprst, penster present repents serpent
eenprsst, pensters pertness presents serpents
eenopsst, pentoses posteens
elnpty, pentyl plenty
eeinprsu, penuries resupine
eeloppss, peploses popeless
elppsu, peplus supple
eopp, pepo pope
eopps, pepos popes
eeipppr, peppier preppie
deippt, peptid tipped
epr, per rep
aceelpr, percale replace
aceelprs, percales replaces
ceenprt, percent precent
ceenprst, percents precents
ceepprt, percept precept
ceepprst, percepts precepts
ceprssu, percuss spruces
ceinoprssu, percussion supersonic
deepru, perdue pureed
deeprsu, perdues perused supered
ceefprt, perfect prefect
aceefprt, perfecta praefect
aceefprst, perfectas praefects
ceefprst, perfects prefects
efmoprr, perform preform
deefmoprr, performed preformed
efgimnoprr, performing preforming
efmoprrs, performs preforms
aeehpprss, perhapses preshapes
eipr, peri pier ripe
aceipprrs, pericarps scrappier
ceeiopprs, pericopes periscope
eginopr, perigon pirogen
eginoprs, perigons reposing spongier
eilpr, peril plier
deeilpr, periled replied
aceeiipprtt, peripatetic precipitate
eeipqru, perique reequip
eeipqrsu, periques reequips
eiprs, peris piers pries prise ripes speir spier spire
ehiprs, perish reship
eeilprt, perlite reptile
emprs, perms sperm
eeiprrs, perries prisere reprise respire
eprry, perry pryer
aelprsst, persalts plasters psalters staplers
eeprss, perses speers sprees
eeinprsstt, persistent prettiness
egiinprsst, persisting springiest
aenoprss, personas responsa
adeeinprt, pertained repainted
aegiinnprt, pertaining repainting
eeprstt, pertest petters pretest
aelprsu, perusal pleuras
eeprsu, peruse purees rupees
eeprrssu, perusers pressure
eginprsu, perusing supering
eeeprrsv, perverse preserve
eioprsuv, pervious previous viperous
eopss, pesos poses posse
epst, pest pets sept step
eeprst, pester peters preset
eeprsst, pesters presets
epsst, pests septs steps
adeelpt, petaled pleated
aeeilnpt, petaline tapeline
eiptt, petit petti
eeiinoprtt, petitioner repetition
eeiinoprstt, petitioners repetitions
eiinopstt, petitions pointiest
eiprt, petri tripe
aeloprst, petrosal polestar
eoprstu, petrous posture pouters proteus spouter troupes
aeinpstu, petunias supinate
epsw, pews spew
aelprsty, peytrals plastery psaltery
aehnopt, phaeton phonate
aehnopst, phaetons phonates stanhope
aehopstu, phaseout taphouse
aehopsstu, phaseouts taphouses
cehilnop, phenolic pinochle
cehilnops, phenolics pinochles
ehmnops, phenoms shopmen
ehilprt, philter philtre
ehilprst, philters philtres
hopt, phot toph
aeghhoopprrt, photographer rephotograph
aeghhoopprrst, photographers rephotographs
hopst, phots tophs
aehprs, phrase raphes seraph shaper
adehprs, phrased sharped
aehprss, phrases seraphs shapers
dhiopty, phytoid typhoid
hnopty, phyton python typhon
hnopsty, phytons pythons typhons
aiimnpss, pianisms sinapism
aaabipss, piasabas piassaba
aaaipssv, piasavas piassava
acdioprs, picadors sporadic
acilp, pical plica
acioprs, picaros prosaic
ceikpst, pickets skeptic
cikps, picks spick
acilmopr, picloram proclaim
acilmoprs, piclorams proclaims
ceiiprst, picrites priciest
cips, pics spic
ceeipr, piecer pierce recipe
ceeiprs, piecers pierces precise recipes
ceeips, pieces specie
ceiprsstu, piecrusts spruciest
defioprt, piedfort profited
ceeiprrs, piercers preciser reprices
eioprrst, pierrots sportier
eips, pies sipe
eiipsstt, pietists stipites tipsiest
ginpsu, pignus spuing
giiknps, pigskin spiking
eikprs, pikers spiker
aeilprst, pilaster plaister plaiters
aeilprsst, pilasters plaisters psaltries
eilp, pile plie
deilp, piled plied
eilps, piles plies slipe speil spiel spile
eilppu, pileup uppile
eilppsu, pileups uppiles
aegillps, pillages spillage
illps, pills spill
eilops, pilose poleis
giilnopst, pilotings pistoling
ilopst, pilots pistol spoilt
ilopsu, pilous poilus
ilpsu, pilus pulis
aeinprsst, pinasters pristanes
ceinpr, pincer prince
cehinprs, pinchers pinscher
cehinps, pinches sphenic
eginprs, pingers springe
aeginprsss, pingrasses preassigns
eiinpst, piniest pinites tiepins
eiinpt, pinite tiepin
einnprs, pinners spinner
adinopst, pintados satinpod
eilnpst, pintles plenist
inopt, pinto piton point
einopst, pintoes pointes
inopst, pintos piston pitons points postin
inpy, piny pyin
eilopt, piolet polite
eilopst, piolets pistole
eipprs, pipers sipper
eippst, pipets sippet
giinpps, pipings sipping
ips, pis psi sip
eiimprs, pismire primsie
eiilopst, pisolite polities
ipss, piss psis sips
ainpsst, pissant ptisans
eipsss, pisses sepsis speiss
inopsst, pistons postins
ipt, pit tip
aipst, pitas spait tapis
eiiprst, pitiers tipsier
ipst, pits spit tips
giinpstt, pittings spitting
ipsxy, pixys pyxis
aceilps, plaices special
adilps, plaids salpid
aeilnpr, plainer praline
ailnpt, plaint pliant
adeilpt, plaited taliped
aeilprt, plaiter platier
aaelnpt, planate platane
aelnpr, planer replan
aelnprs, planers replans
aelnpt, planet platen
aelnpst, planets platens
aelnprt, planter replant
aelnprst, planters replants
aehlprs, plasher spheral
aehlprss, plashers splasher
acilmps, plasmic psalmic
almpss, plasms psalms
aaelnpst, platanes pleasant
aalnpst, platans saltpan
aefllpstu, platefuls platesful
agilnpst, platings stapling
adeilpsttu, platitudes stipulated
alpst, plats splat
adeelprs, pleaders relapsed
aeelprss, pleasers relapses
aeelprt, pleater prelate replate
aeelprst, pleaters prelates replates
eloprss, plessor slopers splores
eiklnprs, plinkers sprinkle
eilpss, plisse slipes speils spiels spiles
deloppp, plopped poppled
gilnoppp, plopping poppling
eilopstt, plotties politest
lopy, ploy poly
lopsy, ploys polys
bcilmpu, plumbic upclimb
elmopsu, plumose pumelos
lpsu, plus puls
elpssu, pluses pulses
ehilpsstu, plushiest sulphites
elpry, plyer reply
acehops, poaches shoepac
eopsy, poesy sepoy
eopt, poet tope
eeioprst, poetiser poetries
ginoopp, pogonip pooping
einoprt, pointer protein tropine
einoprst, pointers proteins tropines
eiopss, poises posies
einooprs, poisoner snoopier spoonier
eiloprt, poitrel politer
ekops, pokes spoke
deloprs, polders presold
ilops, polis spoil
ehiloprs, polisher repolish
iloopst, poloist topsoil
iloopsst, poloists topsoils
eeloprsty, polyester proselyte
eeloprssty, polyesters proselytes
loppsy, polyps sloppy
deenoprrs, ponderers responder
denoprs, ponders respond
nnooopst, pontoons spontoon
deloops, poodles spooled
noops, poons snoop spoon
eooprst, poorest stooper
enooprss, poorness snoopers
eoppry, popery pyrope
eopr, pore rope
eoprs, pores poser prose ropes spore
egioprs, porgies serpigo
ginopr, poring roping
imoprs, porism primos
oprt, port trop
eoprt, porte toper trope
denoprt, portend protend
ddeenoprt, portended protended
deginnoprt, portending protending
denoprst, portends protends
eoprrt, porter pretor report
eoprrst, porters pretors reports sporter
inooprst, portions positron sorption
loprty, portly protyl
adeoprrty, portrayed predatory
eoprrsst, portress sporters
oprst, ports prost sport strop
eoprss, posers proses spores
eoprsu, poseur uprose
gilnopsy, posingly spongily
iopst, posit topis
giinopst, positing sopiting
inooprsst, positrons sorptions
iopsst, posits ptosis
boopsty, postboy potboys
eoprst, poster presto stoper topers tropes
eoprsst, posters prestos stopers
ehloopst, posthole potholes
cehiopst, postiche potiches
ginopst, posting stoping
ginopsst, postings signpost
amnopst, postman tampons
opsst, posts spots stops
aloprstu, postural pulsator
deoprstu, postured proudest sprouted
eoprrstu, posturer troupers
ginoprstu, posturing sprouting
floptu, potful topful
ehoprt, pother thorpe
ehoprst, pothers strophe thorpes
amnopt, potman tampon
eiopst, potsie sopite
eiopsst, potsies sopites
enoopstt, potstone topstone
enoopsstt, potstones topstones
opsty, potsy typos
eoprstt, potters protest spotter
eiopstt, potties tiptoes
opru, pour roup
deopru, poured rouped
eoprru, pourer repour
eoprrsu, pourers repours
oprsu, pours roups
eoprtu, pouter roupet troupe uptore
opstu, pouts spout stoup
opw, pow wop
opsw, pows swop wops
eoprstw, powters prowest
aeoprrt, praetor prorate
aeoprrst, praetors prorates
ampr, pram ramp
amprs, prams ramps
agnprs, prangs sprang
aopr, prao proa
aoprs, praos proas sapor
aprsu, praus supra
adenprw, prawned predawn
aenprrw, prawner prewarn
aenprrsw, prawners prewarns
aeprrsy, prayers sprayer
aprsy, prays raspy spray
bdenopru, prebound unprobed
cdeeenprt, precedent precented
ceiprs, precis prices spicer
ceeiprsst, precisest tricepses
ceoprrrsu, precursor procurers
adeoprrst, predators teardrops
cdeeeoprrss, predecessor reprocessed
cdeiprst, predicts scripted
ceeelprst, preelects preselect
aceeilprs, prelacies specialer
deelprsu, preludes repulsed
eeimprrs, premiers simperer
aeemnprs, prenames spearmen
ceeinprt, prentice terpenic
ceeinprst, prentices prescient reinspect
eppr, prep repp
aepprsy, prepays yappers
epprs, preps repps
ceeoprrss, prescores reprocess
eellprs, presell respell speller
eegillnprs, preselling respelling
eellprss, presells respells spellers
deeenprst, presented repetends
eeginprstt, presetting pretesting
deeiprs, preside speired spiered
deeiprrs, presider reprised respired
eeprrss, presser repress
eginprss, pressing springes
eoprrss, pressor prosers
enprrssu, pressrun spurners
eprst, prest strep
eprsst, prests streps
eemprsu, presume supreme
eemprrsu, presumer supremer
adeeprstt, pretasted spattered
aeginprstt, pretasting spattering
eeenprt, preteen terpene
eeenprst, preteens pretense terpenes
eeiprrtt, preterit prettier
aeprrw, prewar rewrap warper
aepprrw, prewrap wrapper
aepprrsw, prewraps wrappers
epry, prey pyre
eprsy, preys pyres
cipry, pricy pyric
deipr, pride pried redip riped
deiprs, prides prised redips spider spired
eiprr, prier riper
eiprrs, priers sprier
deeiprst, priested respited
egiinprst, priesting respiting
eimoprrs, primeros primrose promiser
eimprs, primes simper spirem
eimoprrss, primroses promisers
imprs, prims prism
imprsu, primus purism
einprrt, printer reprint
einprrst, printers reprints sprinter
giinnprst, printings sprinting
inprst, prints sprint
eeiprrss, priseres reprises respires
eiprss, prises speirs spiers spires
giinprs, prising spiring
inoprss, prisons spinors
abeinooprrt, probationer reprobation
abeinooprrst, probationers reprobations
beopr, probe rebop
beoprs, probes rebops
cdeeoprru, procedure reproduce
cdeeoprrsu, procedures reproduces
cdeoprru, procured producer
eeoprtt, proette treetop
eeoprstt, proettes treetops
egnopry, progeny pyrogen
aelopprs, prolapse sapropel
aelopprss, prolapses sapropels
mopr, prom romp
eeimoprs, promisee reimpose
eeimoprss, promisees reimposes
moprs, proms romps
nooprt, pronto proton
efooprr, proofer reproof
efooprrs, proofers reproofs
eenopprs, propenes propense
eopprrs, propers prosper
eoprrs, proser repros ropers
eioprsst, prosiest reposits ripostes triposes
ginoprs, prosing sporing
ioprst, prosit ripost tripos
ooprs, proso sopor spoor
ooprss, prosos sopors spoors
eloprsty, prostyle protyles
deeioprst, proteides redeposit reposited
eoprsstt, protests spotters
eioprrssuv, proviruses supervisor
denprtu, prudent uptrend
enprrsu, pruners spurner
eprrsy, pryers spryer
adelmps, psalmed sampled
agilmnps, psalming sampling
deopsu, pseudo souped
ahpsw, pshaw whaps
aopss, psoas soaps
ddginpsu, puddings spudding
einpsu, puisne supine
einpssu, puisnes supines
elprsu, pulers pulser
elpsu, pules pulse
gilnpsu, pulings pulsing
elppru, pulper purple
ilnopsu, pulsion upsilon
ilnopssu, pulsions upsilons
einpru, punier purine unripe
einpstu, puniest punties
hinpsu, punish unship
eiknpsu, punkies spunkie
knpsu, punks spunk
npsu, puns spun
enprstu, punster punters
noptu, punto puton
nopstu, puntos putons unstop
ilppsu, pupils slipup
eepru, puree rupee
egprsu, purges spurge
inpru, purin unrip
einprsu, purines uprisen
inprsu, purins unrips
iprsu, puris sirup
iprstu, purist upstir
iprsstu, purists upstirs
lprsu, purls slurp
elpprsu, purples suppler
eopprssu, purposes supposer
prsu, purs spur
eprsu, purse sprue super
eprssu, purses sprues supers
eiprrsu, pursier upriser
aelnprsu, purslane supernal
deprsuu, pursued usurped
eprrsuu, pursuer usurper
eprrssuu, pursuers usurpers
ginprsuu, pursuing usurping
prsuy, pursy syrup
psu, pus sup ups
epssu, puses spues supes
elpssuy, pusleys pussley
pssu, puss sups
eiprssu, pussier suspire uprises
ptu, put tup
pstu, puts tups
eprsttu, putters sputter
epy, pye yep
inpsy, pyins spiny
ilopry, pylori ropily
eopssy, pyoses sepoys
adilpry, pyralid rapidly
eiprty, pyrite typier
adqsu, quads squad
aiqsu, quais quasi
aekqsu, quakes squeak
aeqrtu, quarte quatre
aeqrstu, quartes quatres
aeqrsttu, quartets squatter
aeilqrtu, quartile requital
aeilqrstu, quartiles requitals
eeiqrru, querier require
eeiqrrsu, queriers requires
eeqrstu, quester request
eeqrsstu, questers requests
aeeiinnoqrstu, questionnaire questionniare
aeeiinnoqrsstu, questionnaires questionniares
eoqrstu, questor quoters roquets torques
ceikqstu, quickest quickset
diqsu, quids squid
eiqtu, quiet quite
eeiqrtu, quieter requite
eeiqrstu, quieters requites
illqsu, quills squill
ainnqtu, quinnat quintan
ainnqstu, quinnats quintans
inqstu, quints squint
eiqrsu, quires risque squire
iqrstu, quirts squirt
eoqtu, quote toque
eoqrtu, quoter roquet torque
eoqstu, quotes toques
acginrs, racings scaring
acirsst, racists sacrist
acekrt, racket tacker
acekrst, rackets restack stacker tackers
aadrrs, radars sardar
aadeirt, radiate tiaraed
acdeirs, radices sidecar
adhirs, radish shaird
adeirssu, radiuses sudaries
ademor, radome roamed
adrs, rads sard
adeeggrst, raggedest staggered
aaggrt, ragtag tagrag
aaggrst, ragtags tagrags
adeegrw, ragweed wagered
aaeinrrstw, rainwaters warranties
aeirrs, raiser sierra
ahikrs, rakish shikar
aeillrs, rallies sallier
aellry, rallye really
amnorss, ramsons ransoms
adeinrs, randies sandier sardine
admnor, random rodman
adeimnorz, randomize romanized
admnors, randoms rodsman
aeknrst, rankest tankers
anrt, rant tarn
anrst, rants tarns trans
adeiprst, rapidest traipsed
adiprs, rapids sparid
aeiprr, rapier repair
adeeiprr, rapiered repaired
aiprst, rapist tapirs
aaeepprr, rapparee reappear
aaeepprrs, rapparees reappears
aerr, rare rear
aeeiprrr, rareripe repairer
aeeiprrrs, rareripes repairers
aerrs, raser rears
aehrrs, rasher sharer
aehrrss, rashers sharers
aehrss, rashes shares shears
aehrsst, rashest trashes
aprss, rasps spars
aerrsu, rasure urares
aert, rate tare tear
aabeelrt, rateable tearable
aerrt, rater tarre terra
aeinrt, ratine retain retina
aaeilnorst, rationales senatorial
aaeiilnortz, rationalize realization
aaeiilnorstz, rationalizes realizations
aeiklrt, ratlike talkier
ailnrt, ratlin trinal
aort, rato rota taro tora
aorst, ratos roast rotas taros toras
aanrtt, rattan tantra tartan
aanrstt, rattans tantras tartans
adertt, ratted tarted tetrad
aerrtt, ratter tarter
aerrstt, ratters restart starter
aeirsttt, rattiest titrates tristate
aginrtt, ratting tarting
aelrrstt, rattlers startler
aelrstt, rattles starlet startle
agilnrstt, rattlings startling
alrtty, rattly tartly
achnruy, raunchy unchary
aaegrsv, ravages savager
aeelrrsv, ravelers reversal slaverer
aegilnrsv, ravelings slavering
arw, raw war
aerrw, rawer warer
aerstw, rawest tawers waster waters
arsw, raws wars
ary, ray rya yar
aelrssy, rayless slayers
arsy, rays ryas
aceehrrs, reachers research searcher
adeerrs, readers redears rereads
adeeirst, readiest seriated steadier
adeeilrs, realised resailed sidereal
aegiilnrs, realising resailing
aeilrst, realist retails saltier saltire slatier tailers
aeilrsst, realists saltiers saltires
aeeilrsz, realizes sleazier
aellorst, reallots rostella
adeemr, reamed remade
aeemrrs, reamers smearer
aeeprrs, reapers spearer
adeegrru, reargued redargue
aceenrsst, reascents sarcenets
aenorss, reasons senoras
aeginrv, reaving vinegar
beerssu, rebuses subsere
aceenrrt, recanter recreant
aceenrrst, recanters recreants
abceeeilrsv, receivables serviceable
ceeprst, recepts respect scepter sceptre specter spectre
ceerss, recess screes
cdeeerss, recessed seceders
ceiinors, recision soricine
cdeeirt, recited tierced
cdeeorrr, recorder rerecord
cdeeorrrs, recorders rerecords
ceeorrsu, recourse resource
ceeorrssu, recourses resources
ceeorrsss, recrosses sorceress
cdeersu, recused reduces rescued secured seducer
ceginrsu, recusing rescuing securing
acderst, redacts scarted
adenrs, redans sander snared
adeert, redate teared
addeert, redated treaded
abdeirt, redbait tribade
abdeirst, redbaits tribades
acdeprs, redcaps scarped scraped
ddeenr, redden rended
ddeerst, reddest tedders
ddeelrs, reddles sledder
deiprt, redipt trepid
deenrss, redness resends senders
deelnort, redolent rondelet
ddenoru, redound rounded underdo
ddeginnoru, redounding underdoing
adeerrrw, redrawer rereward rewarder
adeerrrsw, redrawers rerewards rewarders
adeginrrw, redrawing rewarding
deginrw, redwing wringed
deery, redye reedy
deegiinrt, reediting reignited
eers, rees seer sere
deeerst, reested steered
deeerv, reeved veered
eeersv, reeves severe
eeginrv, reeving regiven veering
efirst, refits resift rifest sifter strife
eeflrst, reflets telfers
efrs, refs serf
ddeefnru, refunded underfed
aeflrtu, refutal tearful
adegginrr, regarding regrading
adeeeglrt, regelated relegated
aeeggilnrt, regelating relegating
egnorrw, regrown wronger
eginr, reign renig
eginrs, reigns renigs resign sering signer singer
einrs, reins resin rinse risen serin siren
adeeinrstt, reinstated straitened
aegiinnrstt, reinstating straitening
eeinrrt, reinter rentier terrine
eeinrsstv, reinvests sirventes
eeirssu, reissue seisure
eeirsssu, reissues seisures
eeirrv, reiver riever verier
eeirrsv, reivers reviser rievers
eeirsv, reives revise
eiknrt, reknit tinker
eiknrst, reknits stinker tinkers
deeiknrtt, reknitted trinketed
egiiknnrtt, reknitting trinketing
aelorrst, relators restoral
adeeelrs, released resealed
ceilrs, relics slicer
eeilrs, relies resile
eeeilrrsv, relievers revelries
egiilnrv, reliving reviling
adeeilmr, remailed remedial
eeimrrtt, remitter trimeter
eeimrrstt, remitters trimester trimeters
aemorr, remora roamer
aemorrs, remoras roamers
adeenrrtu, renatured underrate
eenrsw, renews resewn
eennrt, rennet tenner
eennrst, rennets tenners
ennorw, renown wonner
ennorsw, renowns wonners
enrt, rent tern
deenrt, rented tender
eenrrst, renters sterner
eginnrt, renting ringent
einorsv, renvois version
cceorrsu, reoccurs succorer
aeeeprrt, repartee repeater
aeeeprrst, repartees repeaters
aeginprst, repasting trapesing
deeenprt, repented repetend
eeenprrst, repenters represent
eeeioprrrst, repertoires repertories
aeehprrs, rephrase reshaper
aeehprrss, rephrases reshapers
einpr, repin ripen
deeinpr, repined ripened
eeinprr, repiner ripener
eeinprrs, repiners ripeners
egiinnpr, repining ripening
einprs, repins ripens sniper
eeilprs, replies spieler
eioprst, reposit riposte ropiest
egiinprrs, reprising respiring springier
eoprr, repro roper
eeirrs, rerise sirree
eeirrss, rerises serries sirrees
ellorr, reroll roller
ellorrs, rerolls rollers
aersw, resaw sawer sewar sware swear wares wears
aeginrsw, resawing swearing
aerssw, resaws sawers sewars swears wrasse
aeginrsy, resaying synergia
aerssy, resays sayers
ceeenrrs, rescreen screener
ceeenrrss, rescreens screeners
ceerrsu, rescuer securer
ceerrssu, rescuers securers
aeersu, reseau urease
aeerssu, reseaus ureases
cdeeerst, resected secreted
deeers, reseed seeder
deeerss, reseeds seeders
eeekrs, reseek seeker
eeekrss, reseeks seekers
eeenrs, reseen serene
eellrs, resell seller
eellrss, resells sellers
eeerrsv, reserve reveres reverse severer
eeerrrsv, reserver reverers reverser
eeerrrssv, reservers reversers
eeerrssv, reserves reverses
eeginrrsv, reserving reversing
eeginrstt, resetting retesting
deeersw, resewed weeders
eerssw, resews sewers
eehrss, reshes sheers
ehoorsst, reshoots sheroots shooters soothers
ehorsw, reshow shower whores
deehorsw, reshowed showered
eghinorsw, reshowing showering
ehorssw, reshows showers
deeirsu, residue ureides
efirsst, resifts sifters strifes
eeilrrsv, resilver revilers silverer sliverer
eeilrrssv, resilvers silverers sliverers
einrss, resins rinses serins sirens
eirsst, resist sister
aeinrsstt, resistant straitens
eeirrsst, resister tressier
egiinrsst, resisting sistering
eiorrsst, resistor roisters sorriest
eirssst, resists sisters
eeirsz, resize seizer
eeirssz, resizes seizers
eelmrsst, resmelts smelters termless
ehmoorst, resmooth smoother
ehmoorsst, resmooths smoothers
delors, resold solder
deelorrs, resolder solderer
deelorrss, resolders solderers
eorrst, resort roster sorter
deeorrst, resorted restored
eeorrrst, resorter restorer retrorse
eeorrrsst, resorters restorers
eginorrst, resorting restoring
eorrsst, resorts rosters sorters
eghorstu, resought roughest
ddeenorsu, resounded underdoes
eorsw, resow serow sower swore worse
eorssw, resows serows sowers worses
cdeeeprst, respected sceptered
ceeginprst, respecting sceptering
ceeprsst, respects scepters sceptres specters spectres
adeeprrs, respread spreader
adeeprrss, respreads spreaders
eginprrs, respring springer
eginprrss, resprings springers
acekrsst, restacks stackers
aeffrst, restaff staffer
aeffrsst, restaffs staffers
aemprst, restamp stamper tampers
aemprsst, restamps stampers
aerrsstt, restarts starters
adeerstt, restated retasted
aeginrstt, restating retasting
eerrst, rester terser
eginrst, resting stinger
eeirstv, restive veriest
eelrssst, restless tressels
cekorst, restock rockets stocker
cekorsst, restocks stockers
aeinrrst, restrain retrains strainer terrains trainers
aeinrrsst, restrains strainers
aeinrrstt, restraint retirants
eginrrst, restring stringer
eginrrsst, restrings stringers
eeirrstv, restrive riveters
cekrrstu, restruck truckers
ersst, rests tress
effrstu, restuff stuffer truffes
effrsstu, restuffs stuffers
eelrsty, restyle tersely
emmnorsu, resummon summoner
emmnorssu, resummons summoners
aeilrt, retail retial tailer
aeeinrrst, retainers ternaries
aeekrrst, retakers streaker
eert, rete tree
eellrt, retell teller
eellrst, retells tellers
eerstt, retest setter street tester
eersstt, retests setters streets tersest testers
ehiknrt, rethink thinker
ehiknrst, rethinks thinkers
adeehrrt, rethread threader
adeehrrst, rethreads threaders
ceeilrt, reticle tiercel
ceeilrst, reticles sclerite tiercels triscele
eeghinrtt, retighten tethering
aeeinrt, retinae trainee
einrtt, retint tinter
einrstt, retints stinter tinters
eeinrtu, retinue reunite uterine
deeinrtu, retinued reunited
deeirrt, retired retried tireder
eeirrrt, retirer terrier
eeirrrst, retirers terriers
eeirrst, retires retries terries
eorrtt, retort rotter
eorrstt, retorts rotters stertor
acekrrt, retrack tracker
acekrrst, retracks trackers
aeinrrt, retrain terrain trainer
adeerrt, retread treader
aeerrtt, retreat treater
aeerrstt, retreats treaters
ceehnrrt, retrench trencher
aeilrrt, retrial trailer
aeilrrst, retrials trailers
aeeilrrstv, retrievals varletries
eimrrt, retrim trimer
eimrrst, retrims trimers
errty, retry terry
enrrtu, return turner
enrrstu, returns turners
eirsttw, retwist twister
eirssttw, retwists twisters
eeinrrstu, reuniters turneries
eehloprrstu, reupholster upholsterer
eehloprrsstu, reupholsters upholsterers
eerrttu, reutter utterer
eerrsttu, reutters utterers
aemprv, revamp vamper
aemprsv, revamps vampers
eeenruv, revenue unreeve
deeenruv, revenued unreeved
eeenrsuv, revenues unreeves
eerrsv, revers server verser
aeelrrssv, reversals slaverers
eersstv, revests versets verstes
eeirvw, review viewer
eeirsvw, reviews viewers
eiirstv, revisit visiter
eiirsstv, revisits visiters
eelortuv, revolute truelove
eirstuv, revuist stuiver virtues
eirsstuv, revuists stuivers
aeekrw, rewake weaker
adeekrw, rewaked wreaked
aeeknrw, rewaken wakener
aeeknrsw, rewakens wakeners
aegiknrw, rewaking wreaking
aenrw, rewan waner
aemrrw, rewarm warmer
aemrrsw, rewarms swarmer warmers
aerwx, rewax waxer
eeghirw, reweigh weigher
eeghirsw, reweighs weighers
deelrsw, rewelds welders
deeinrw, rewiden widener
deeinrsw, rewidens wideners
deinrw, rewind winder
deinrsw, rewinds winders
deeirrw, rewired weirder
ekorrw, rework worker
ekorrsw, reworks workers
aeprrsw, rewraps warpers
ehrssu, rhesus rhuses rushes ushers
cehiorrt, rhetoric torchier
ehorrst, rhetors shorter
abhmrsu, rhumbas sambhur
hrsu, rhus rush
hnorty, rhyton thorny
ailort, rialto tailor
ailorst, rialtos tailors
ainrt, riant train
bbinor, ribbon robbin
bbinors, ribbons robbins
ceikrst, rickets sticker tickers
ddeinr, ridden rinded
deinrt, rident tinder trined
efilrsst, riftless stiflers
eghiirst, righties tigerish
ahiikrs, rikisha shikari
ahiikrss, rikishas shikaris
eillrs, rilles siller
eillrt, rillet tiller
eillrst, rillets stiller tillers trellis
eilmrss, rimless smilers
egilnrt, ringlet tingler
egilnrst, ringlets sterling tinglers
agiilnrt, ringtail trailing
aginrstw, ringtaws strawing
iort, riot tiro tori trio
eiorrst, rioters roister
iorst, riots tiros torsi trios trois
eilpprt, ripplet tippler
eilpprst, ripplets stippler tipplers
deiiprt, riptide tiderip
deiiprst, riptides spirited tiderips
eirss, rises sires
giinrs, rising siring
eirt, rite tier tire
eirst, rites tiers tires tries
eirrtt, ritter territ triter
eirrstt, ritters territs
ailrv, rival viral
agiilnrv, rivaling virginal
eirv, rive vier
eirsv, rives siver viers vires
eirstv, rivets stiver strive verist
giinrv, riving virgin
adeorst, roasted torsade
borstu, robust turbos
denorst, rodents snorted
deoors, rodeos roosed
delorss, rodless solders
gginoru, roguing rouging
llooprt, rolltop trollop
denorru, rondure rounder
denorrsu, rondures rounders
oorst, roost roots rotos toros torso
eoorrst, rooster rooters toreros
oorsst, roosts torsos
oort, root roto toro
eoorrt, rooter torero
eioorstt, rootiest tortoise
eloortt, rootlet tootler
eloorstt, rootlets tootlers
eorrs, roser sorer
eorss, roses sores
eorst, roset rotes store tores torse
eorsst, rosets sorest stores torses tosser
eiorsst, rosiest sorites sorties stories trioses
aorrst, rostra sartor
aeorstt, rotates toaster
chort, rotch torch
eort, rote tore
enortt, rotten torten
dnortu, rotund untrod
delnorsu, roundels unsolder
denorstu, roundest tonsured unsorted
eorrsu, rouser sourer
eorssu, rouses serous
ginorsu, rousing souring
orstu, roust routs stour torus tours
eorrstu, rouster routers tourers trouser
eorrsstu, rousters tressour trousers
orsstu, rousts stours tussor
ortu, rout tour
eorrtu, router tourer
einorstu, routines snoutier
deiorrw, rowdier wordier worried
deiorstw, rowdiest wordiest
dilorwy, rowdily wordily
deinorssw, rowdiness wordiness
deeinorsssw, rowdinesses wordinesses
deellorw, rowelled welldoer
eorrsw, rowers worser
hortw, rowth throw whort worth wroth
horstw, rowths throws whorts worths
ailorsty, royalist solitary
eorrsty, royster stroyer
eorrssty, roysters stroyers
abcersu, rubaces subrace
abersssu, rubasses surbases
abortu, rubato tabour
aborstu, rubatos tabours
abellru, rubella rulable
ddeirstu, ruddiest sturdied
deimnrtu, rudiment unmitred
errsu, ruers surer
ersu, rues ruse suer sure user
effrsu, ruffes suffer
aeinrtu, ruinate taurine uranite urinate
aeinrstu, ruinates taurines uranites urinates
agiinnrtu, ruinating urinating
ginru, ruing unrig
inorsuu, ruinous urinous
abmru, rumba umbra
abmrsu, rumbas sambur umbras
nru, run urn
delnrtu, rundlet trundle
delnrstu, rundlets trundles
nrsu, runs urns
nrtu, runt turn
nrstu, runts turns
anruwy, runway unwary
erssu, ruses suers users
erssstu, russets trusses tussers
rstu, rust ruts
